Postcode,Huisnummer,Bouwjaar,Gebouwtype,Energieklasse,warmte_predicted,warmte_final,gas_sjv_m3,gas_per_m2,priority,PC4
1628XD,69,1998,Rijwoning tussen,A,71.7371742715949,60.74,,,Low,1628
1625AS,61,1974,Vrijstaande woning,E,211.08149963032088,219.26,,,High,1625
1621HE,10,1927,Appartement,G,302.1014311840864,304.75,,,High,1621
1621JB,29,1880,Rijwoning tussen,D,196.25803053981966,209.76,,,High,1621
1628XA,197,1997,Rijwoning tussen,A,76.71439142410642,82.55,,,Low,1628
1628XC,110,1998,Rijwoning hoek,A,102.00315630726462,97.44,,,Low,1628
1621AL,12,2000,Twee-onder-één-kap,A,89.63052792175368,101.18,,,Low,1621
1628GB,36,1983,Rijwoning tussen,B,103.14441242226995,105.48,,,Medium,1628
1628WD,67,1996,Rijwoning tussen,B,93.16392815090313,107.26,,,Low,1628
1689EN,52,1960,Rijwoning tussen,C,166.95730286371298,179.24,1156.9471830985915,10.847057782660713,High,1689
1689BS,17,1983,Rijwoning hoek,B,126.19418634662911,140.58,1156.9471830985915,10.401395155071397,Medium,1689
1628XN,164,2000,Rijwoning hoek,B,100.54874290809347,100.75,,,Low,1628
1621LE,12,1920,Rijwoning tussen,C,143.53350887215132,149.29,,,Medium,1621
1625RR,16,1991,Twee-onder-één-kap,B,109.74926854820174,111.12,,,Medium,1625
1689PJ,58,1982,Rijwoning tussen,A,97.19477464377248,108.33,1156.9471830985915,10.967363570941242,Medium,1689
1624BB,47,1904,Rijwoning tussen,C,162.32316365808393,172.93,,,High,1624
1628WS,89,1996,Rijwoning tussen,B,95.93364867872138,102.56,,,Low,1628
1628XN,135,2000,Rijwoning tussen,A,75.70948542220312,68.12,,,Low,1628
1689RM,24,1980,Appartement,C,147.99210906468036,150.69,1156.9471830985915,17.703858960957792,High,1689
1623RC,103,1922,Rijwoning tussen,B,108.65048781038593,123.9,,,Medium,1623
1624GP,143,2008,Appartement,A,69.42319210318611,62.05,,,Low,1624
1689VA,7,1982,Rijwoning tussen,B,119.39539215466067,123.22,1156.9471830985915,12.550956640253759,Medium,1689
1625BV,110,1977,Appartement,A,67.45405487990685,77.85,,,Low,1625
1689JC,67,1977,Appartement,C,131.34902105421028,131.14,1156.9471830985915,20.681930337836818,Medium,1689
1689JC,53,1977,Appartement,C,126.32396258190157,125.98,1156.9471830985915,20.681930337836818,Medium,1689
1689EN,56,2008,Twee-onder-één-kap,A++,78.59654064841646,80.4,1156.9471830985915,8.465880163168386,Low,1689
1689EK,23,1965,Twee-onder-één-kap,A,144.66595377763176,142.04,1156.9471830985915,10.831824577273583,Medium,1689
1689HH,89,1975,Twee-onder-één-kap,C,148.74259276743354,153.87,1156.9471830985915,8.853284229404586,High,1689
1625TG,89,1972,Rijwoning tussen,B,123.28443249963085,132.63,,,Medium,1625
1622EN,193,1979,Appartement,C,110.74452508230183,131.36,,,Medium,1622
1689NM,32,1980,Rijwoning tussen,A++,88.77789372940788,90.61,1156.9471830985915,10.454027135615718,Low,1689
1628PR,56,1990,Twee-onder-één-kap,A,109.47773184483161,108.67,,,Medium,1628
1622CV,110,1975,Rijwoning tussen,C,125.35018588286968,124.64,,,Medium,1622
1628XD,50,1998,Rijwoning tussen,A,77.8155258124527,87.49,,,Low,1628
1621BC,22,1883,Vrijstaande woning,C,136.06150915429765,138.17,,,Medium,1621
1628MH,18,1988,Rijwoning hoek,A,100.01565705308067,88.88,,,Low,1628
1628KL,33,1992,Rijwoning tussen,A,92.7811017681796,85.8,,,Low,1628
1628WL,127,1996,Rijwoning tussen,A+,80.37792924855582,90.05,,,Low,1628
1621BW,3,1930,Appartement,C,181.23184688944062,177.6,,,High,1621
1628VN,60,1995,Twee-onder-één-kap,A+,85.98540795851939,70.09,,,Low,1628
1689HL,82,1975,Rijwoning tussen,B,115.3894410985199,110.23,1156.9471830985915,7.985554825363001,Medium,1689
1689WL,76,2006,Rijwoning tussen,A+,60.311451537927596,50.6,1156.9471830985915,9.808793413298783,Low,1689
1621AA,79,1987,Appartement,B,104.4508971521836,97.44,,,Low,1621
1628WC,46,1996,Vrijstaande woning,A,119.842448337631,122.94,,,Low,1628
1625AR,38,1974,Vrijstaande woning,C,187.24240667658444,195.62,,,High,1625
1628GP,106,1983,Rijwoning hoek,A,123.42802598230617,115.04,,,Medium,1628
1625AJ,18,1974,Twee-onder-één-kap,C,172.78475420611656,182.23,,,High,1625
1628VE,96,1994,Rijwoning tussen,A,97.49153272339657,82.23,,,Low,1628
1621BH,13,1905,Rijwoning tussen,D,205.63538223605107,206.42,,,High,1621
1628SR,41,1993,Twee-onder-één-kap,A,99.47960907221632,97.26,,,Low,1628
1621EJ,18,1910,Rijwoning tussen,D,168.50462430939413,181.25,,,High,1621
1623RR,7,1986,Rijwoning hoek,C,123.69880492761963,118.34,,,Medium,1623
1689MD,84,1980,Rijwoning tussen,A,100.48284043322224,96.26,1156.9471830985915,10.687733793058582,Low,1689
1621CR,21,1906,Appartement,C,129.9492478498323,135.95,,,Medium,1621
1625BB,16,1975,Rijwoning hoek,C,153.63049249447158,159.53,,,High,1625
1689CP,50,2012,Rijwoning tussen,A+,64.40289897483974,66.24,1156.9471830985915,10.375277402014092,Low,1689
1689GC,209,2024,Vrijstaande woning,A++++,69.14664329469294,70.1,1156.9471830985915,5.327870979040256,Low,1689
1625BD,59,1975,Rijwoning tussen,A,119.9791538757548,123.54,,,Medium,1625
1622HD,2,1979,Rijwoning tussen,B,114.90785292366151,119.21,,,Medium,1622
